name,album,track_number,acousticness,danceability,energy,valence,popularity,category
For You Blue - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),7,0.696,0.734,0.516,0.823,32,0
Teddy Boy - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),8,0.713,0.629,0.424,0.667,29,0
Two Of Us - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),9,0.543,0.704,0.514,0.753,29,0
Maggie Mae - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),10,0.396,0.453,0.452,0.585,27,0
Dig It - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),11,0.643,0.391,0.517,0.842,30,0
Come Together - 2019 Mix,Abbey Road (Super Deluxe Edition),1,0.0823,0.536,0.36,0.147,49,0
Something - 2019 Mix,Abbey Road (Super Deluxe Edition),2,0.0958,0.416,0.385,0.458,47,0
Maxwell's Silver Hammer - 2019 Mix,Abbey Road (Super Deluxe Edition),3,0.497,0.816,0.386,0.708,42,0
Oh! Darling - 2019 Mix,Abbey Road (Super Deluxe Edition),4,0.0344,0.437,0.669,0.514,51,0
Octopus's Garden - 2019 Mix,Abbey Road (Super Deluxe Edition),5,0.113,0.565,0.645,0.626,44,0
I Want You (She's So Heavy) - 2019 Mix,Abbey Road (Super Deluxe Edition),6,0.0208,0.326,0.5,0.365,44,0
Here Comes The Sun - 2019 Mix,Abbey Road (Super Deluxe Edition),7,0.038,0.569,0.557,0.292,51,0
Because - 2019 Mix,Abbey Road (Super Deluxe Edition),8,0.613,0.178,0.283,0.19,41,0
You Never Give Me Your Money - 2019 Mix,Abbey Road (Super Deluxe Edition),9,0.317,0.33,0.442,0.326,43,0
Sun King - 2019 Mix,Abbey Road (Super Deluxe Edition),10,0.186,0.406,0.274,0.199,41,0
Mean Mr Mustard - 2019 Mix,Abbey Road (Super Deluxe Edition),11,0.0254,0.69,0.674,0.915,41,0
Polythene Pam - 2019 Mix,Abbey Road (Super Deluxe Edition),12,0.00203,0.47,0.833,0.491,41,0
She Came In Through The Bathroom Window - 2019 Mix,Abbey Road (Super Deluxe Edition),13,0.00307,0.527,0.752,0.738,42,0
Golden Slumbers - 2019 Mix,Abbey Road (Super Deluxe Edition),14,0.303,0.395,0.181,0.221,44,0
Carry That Weight - 2019 Mix,Abbey Road (Super Deluxe Edition),15,0.0915,0.494,0.558,0.625,42,0
The End - 2019 Mix,Abbey Road (Super Deluxe Edition),16,0.00045,0.624,0.532,0.125,41,0
Her Majesty - 2019 Mix,Abbey Road (Super Deluxe Edition),17,0.647,0.742,0.182,0.565,9,0
I Want You (She's So Heavy) - Trident Recording Session & Reduction Mix,Abbey Road (Super Deluxe Edition),1,0.13,0.36,0.383,0.373,36,0
Goodbye - Home Demo,Abbey Road (Super Deluxe Edition),2,0.918,0.556,0.174,0.563,42,0
Something - Studio Demo,Abbey Road (Super Deluxe Edition),3,0.955,0.408,0.187,0.243,38,0
The Ballad Of John And Yoko - Take 7,Abbey Road (Super Deluxe Edition),4,0.0681,0.695,0.732,0.672,36,0
Old Brown Shoe - Take 2,Abbey Road (Super Deluxe Edition),5,0.447,0.639,0.731,0.372,33,0
Oh! Darling - Take 4,Abbey Road (Super Deluxe Edition),6,0.307,0.596,0.51,0.545,35,0
Octopus's Garden - Take 9,Abbey Road (Super Deluxe Edition),7,0.0851,0.699,0.412,0.837,32,0
You Never Give Me Your Money - Take 36,Abbey Road (Super Deluxe Edition),8,0.621,0.375,0.455,0.377,32,0
Her Majesty - Takes 1-3,Abbey Road (Super Deluxe Edition),9,0.75,0.691,0.134,0.509,39,0
Golden Slumbers / Carry That Weight - Takes 1-3 / Medley,Abbey Road (Super Deluxe Edition),10,0.674,0.561,0.202,0.235,37,0
Here Comes The Sun - Take 9,Abbey Road (Super Deluxe Edition),11,0.0408,0.581,0.555,0.562,37,0
Maxwell's Silver Hammer - Take 12,Abbey Road (Super Deluxe Edition),12,0.237,0.787,0.319,0.701,31,0
Come Together - Take 5,Abbey Road (Super Deluxe Edition),1,0.096,0.598,0.314,0.277,33,0
The End - Take 3,Abbey Road (Super Deluxe Edition),2,0.000927,0.671,0.42,0.539,30,0
Come And Get It - Studio Demo,Abbey Road (Super Deluxe Edition),3,0.00356,0.572,0.405,0.494,33,0
Sun King - Take 20,Abbey Road (Super Deluxe Edition),4,0.444,0.559,0.23,0.286,29,0
Mean Mr. Mustard - Take 20,Abbey Road (Super Deluxe Edition),5,0.023,0.59,0.553,0.628,29,0
Polythene Pam - Take 27,Abbey Road (Super Deluxe Edition),6,0.0734,0.479,0.708,0.518,29,0
She Came In Through The Bathroom Window - Take 27,Abbey Road (Super Deluxe Edition),7,0.00673,0.594,0.681,0.858,30,0
Because - Take 1 / Instrumental,Abbey Road (Super Deluxe Edition),8,0.458,0.328,0.381,0.2,29,0
"The Long One - Comprising of ‘You Never Give Me Your Money’, ’Sun King’/’Mean Mr Mustard’, ‘Her Majesty’, ‘Polythene Pam’/’She Came In Through The Bathroom Window’, ’Golden Slumbers’/ ’Carry That Weight’, ’The End’",Abbey Road (Super Deluxe Edition),9,0.0565,0.403,0.425,0.243,36,0
Something - Take 39 / Instrumental / Strings Only,Abbey Road (Super Deluxe Edition),10,0.79,0.0959,0.229,0.0677,32,0
Golden Slumbers / Carry That Weight - Take 17 / Instrumental / Strings & Brass Only,Abbey Road (Super Deluxe Edition),11,0.829,0.178,0.218,0.15,30,0
Back In The U.S.S.R. - 2018 Mix,The Beatles,1,0.00102,0.51,0.893,0.934,45,0
Dear Prudence - 2018 Mix,The Beatles,2,0.0904,0.395,0.538,0.369,42,0
Glass Onion - 2018 Mix,The Beatles,3,0.00236,0.529,0.555,0.615,38,0
"Ob-La-Di, Ob-La-Da - 2018 Mix",The Beatles,4,0.149,0.803,0.776,0.969,47,0
Wild Honey Pie - 2018 Mix,The Beatles,5,0.278,0.749,0.689,0.299,33,0
The Continuing Story Of Bungalow Bill - 2018 Mix,The Beatles,6,0.295,0.659,0.56,0.738,35,0
While My Guitar Gently Weeps - 2018 Mix,The Beatles,7,0.00196,0.421,0.668,0.635,48,0
Happiness Is A Warm Gun - 2018 Mix,The Beatles,8,0.131,0.461,0.534,0.459,41,0
Martha My Dear - 2018 Mix,The Beatles,9,0.788,0.641,0.328,0.858,39,0
I'm So Tired - 2018 Mix,The Beatles,10,0.496,0.44,0.485,0.717,38,0
Blackbird - 2018 Mix,The Beatles,11,0.825,0.649,0.123,0.358,47,0
Piggies - 2018 Mix,The Beatles,12,0.2,0.527,0.471,0.571,34,0
Rocky Raccoon - 2018 Mix,The Beatles,13,0.424,0.543,0.429,0.638,38,0
Don't Pass Me By - 2018 Mix,The Beatles,14,0.472,0.598,0.58,0.961,34,0
Why Don't We Do It In The Road? - 2018 Mix,The Beatles,15,0.493,0.532,0.524,0.845,35,0
I Will - 2018 Mix,The Beatles,16,0.661,0.621,0.348,0.9,39,0
Julia - 2018 Mix,The Beatles,17,0.849,0.399,0.091,0.185,37,0
Birthday - 2018 Mix,The Beatles,1,2.27e-05,0.587,0.662,0.964,36,0
Yer Blues - 2018 Mix,The Beatles,2,0.000652,0.328,0.608,0.48,36,0
Mother Nature's Son - 2018 Mix,The Beatles,3,0.614,0.564,0.197,0.473,36,0
Everybody's Got Something To Hide Except Me And My Monkey - 2018 Mix,The Beatles,4,0.00445,0.503,0.775,0.738,35,0
Sexy Sadie - 2018 Mix,The Beatles,5,0.279,0.483,0.546,0.732,36,0
Helter Skelter - 2018 Mix,The Beatles,6,0.000218,0.22,0.884,0.248,41,0
"Long, Long, Long - 2018 Mix",The Beatles,7,0.35,0.337,0.23,0.106,34,0
Revolution 1 - 2018 Mix,The Beatles,8,0.0974,0.37,0.674,0.583,34,0
Honey Pie - 2018 Mix,The Beatles,9,0.893,0.592,0.357,0.489,34,0
Savoy Truffle - 2018 Mix,The Beatles,10,0.00938,0.63,0.616,0.912,33,0
Cry Baby Cry - 2018 Mix,The Beatles,11,0.129,0.481,0.475,0.489,34,0
Revolution 9 - 2018 Mix,The Beatles,12,0.775,0.193,0.706,0.119,31,0
Good Night - 2018 Mix,The Beatles,13,0.888,0.131,0.343,0.137,31,0
Back In The U.S.S.R. - Esher Demo,The Beatles,1,0.756,0.658,0.53,0.557,32,0
Dear Prudence - Esher Demo,The Beatles,2,0.655,0.387,0.266,0.271,32,0
Glass Onion - Esher Demo,The Beatles,3,0.689,0.697,0.288,0.616,28,0
"Ob-La-Di, Ob-La-Da - Esher Demo",The Beatles,4,0.403,0.76,0.601,0.549,34,0
The Continuing Story Of Bungalow Bill - Esher Demo,The Beatles,5,0.642,0.594,0.357,0.494,27,0
While My Guitar Gently Weeps - Esher Demo,The Beatles,6,0.835,0.503,0.321,0.36,33,0
Happiness Is A Warm Gun - Esher Demo,The Beatles,7,0.771,0.587,0.18,0.186,28,0
I'm So Tired - Esher Demo,The Beatles,8,0.756,0.473,0.285,0.42,29,0
Blackbird - Esher Demo,The Beatles,9,0.699,0.585,0.272,0.388,31,0
Piggies - Esher Demo,The Beatles,10,0.868,0.447,0.225,0.464,27,0
Rocky Raccoon - Esher Demo,The Beatles,11,0.619,0.6,0.297,0.356,28,0
Julia - Esher Demo,The Beatles,12,0.845,0.507,0.278,0.261,28,0
Yer Blues - Esher Demo,The Beatles,13,0.374,0.567,0.467,0.643,28,0
Mother Nature's Son - Esher Demo,The Beatles,14,0.835,0.356,0.324,0.331,27,0
Everybody's Got Something To Hide Except Me And My Monkey - Esher Demo,The Beatles,15,0.131,0.678,0.587,0.704,26,0
Sexy Sadie - Esher Demo,The Beatles,16,0.783,0.432,0.283,0.257,26,0
Revolution - Esher Demo,The Beatles,17,0.294,0.723,0.383,0.569,30,0
Honey Pie - Esher Demo,The Beatles,18,0.4,0.633,0.47,0.655,27,0
Cry Baby Cry - Esher Demo,The Beatles,19,0.805,0.63,0.277,0.717,27,0
Sour Milk Sea - Esher Demo,The Beatles,20,0.86,0.662,0.392,0.402,29,0
Twist And Shout - Live / Remastered,Live At The Hollywood Bowl,1,7.81e-05,0.263,0.777,0.552,36,1
She's A Woman - Live / Remastered,Live At The Hollywood Bowl,2,0.0072,0.36,0.882,0.538,28,1
Dizzy Miss Lizzy - Live / Remastered,Live At The Hollywood Bowl,3,0.0116,0.418,0.87,0.732,30,1
Ticket To Ride - Live / Remastered,Live At The Hollywood Bowl,4,0.0029,0.394,0.81,0.325,31,1
Can't Buy Me Love - Live / Remastered,Live At The Hollywood Bowl,5,0.00891,0.358,0.854,0.624,32,1
Things We Said Today - Live / Remastered,Live At The Hollywood Bowl,6,0.0669,0.305,0.627,0.488,28,1
Roll Over Beethoven - Live / Remastered,Live At The Hollywood Bowl,7,0.00204,0.199,0.823,0.73,28,1
Boys - Live / Remastered,Live At The Hollywood Bowl,8,0.0372,0.279,0.941,0.642,38,1
A Hard Day's Night - Live / Remastered,Live At The Hollywood Bowl,9,0.0495,0.287,0.872,0.594,33,1
Help! - Live / Remastered,Live At The Hollywood Bowl,10,0.024,0.286,0.77,0.538,31,1
All My Loving - Live / Remastered,Live At The Hollywood Bowl,11,0.0203,0.203,0.663,0.725,30,1
She Loves You - Live / Remastered,Live At The Hollywood Bowl,12,0.192,0.357,0.858,0.478,31,1
Long Tall Sally - Live / Remastered,Live At The Hollywood Bowl,13,0.0285,0.38,0.908,0.652,29,1
You Can't Do That - Live / Bonus Track,Live At The Hollywood Bowl,14,0.00224,0.432,0.705,0.677,27,1
I Want To Hold Your Hand - Live / Bonus Track,Live At The Hollywood Bowl,15,0.0177,0.225,0.834,0.518,33,1
Everybody’s Trying To Be My Baby - Live / Bonus Track,Live At The Hollywood Bowl,16,0.0548,0.191,0.896,0.728,24,1
Baby's In Black - Live / Bonus Track,Live At The Hollywood Bowl,17,0.0183,0.202,0.756,0.669,26,1
Get Back - Naked Version / Remastered 2013,Let It Be... Naked (Remastered),1,0.045,0.811,0.629,0.54,42,0
Dig A Pony - Naked Version / Remastered 2013,Let It Be... Naked (Remastered),2,0.498,0.503,0.502,0.499,38,0
For You Blue - Naked Version / Remastered 2013,Let It Be... Naked (Remastered),3,0.276,0.854,0.625,0.86,37,0
The Long And Winding Road - Naked Version / Remastered 2013,Let It Be... Naked (Remastered),4,0.945,0.569,0.266,0.279,44,0
Two Of Us - Naked Version / Remastered 2013,Let It Be... Naked (Remastered),5,0.157,0.699,0.74,0.913,42,0
I've Got A Feeling - Naked Version / Remastered 2013,Let It Be... Naked (Remastered),6,0.0311,0.427,0.73,0.399,40,0
One After 909 - Naked Version / Remastered 2013,Let It Be... Naked (Remastered),7,0.0376,0.408,0.894,0.866,36,0
Don't Let Me Down - Naked Version / Remastered 2013,Let It Be... Naked (Remastered),8,0.147,0.486,0.489,0.783,45,0
I Me Mine - Naked Version / Remastered 2013,Let It Be... Naked (Remastered),9,0.223,0.463,0.604,0.758,38,0
Across The Universe - Naked Version / Remastered 2013,Let It Be... Naked (Remastered),10,0.509,0.359,0.461,0.794,43,0
Let It Be - Naked Version / Remastered 2013,Let It Be... Naked (Remastered),11,0.565,0.47,0.404,0.468,43,0
Yellow Submarine,Yellow Submarine Songtrack,1,0.208,0.616,0.636,0.654,60,2
Hey Bulldog,Yellow Submarine Songtrack,2,0.0318,0.568,0.824,0.826,45,2
Eleanor Rigby,Yellow Submarine Songtrack,3,0.836,0.521,0.301,0.621,66,2
Love You To,Yellow Submarine Songtrack,4,0.555,0.399,0.649,0.657,37,2
All Together Now,Yellow Submarine Songtrack,5,0.116,0.606,0.413,0.889,43,2
Lucy In The Sky With Diamonds,Yellow Submarine Songtrack,6,0.0137,0.421,0.388,0.651,46,2
Think For Yourself,Yellow Submarine Songtrack,7,0.0162,0.528,0.591,0.796,36,2
Sgt Pepper's Lonely Hearts Club Band,Yellow Submarine Songtrack,8,0.126,0.33,0.85,0.602,39,2
With A Little Help From My Friends,Yellow Submarine Songtrack,9,0.355,0.707,0.558,0.758,40,2
Baby You're A Rich Man,Yellow Submarine Songtrack,10,0.0215,0.663,0.606,0.412,36,2
Only A Northern Song,Yellow Submarine Songtrack,11,0.000409,0.364,0.723,0.78,35,2
All You Need Is Love,Yellow Submarine Songtrack,12,0.281,0.364,0.483,0.7,52,2
When I'm Sixty Four,Yellow Submarine Songtrack,13,0.683,0.717,0.224,0.594,42,2
Nowhere Man,Yellow Submarine Songtrack,14,0.0155,0.534,0.646,0.852,40,2
It's All Too Much,Yellow Submarine Songtrack,15,4.71e-05,0.48,0.81,0.208,37,2
"And Here We Are Again - Live At The BBC For ""Pop Go The Beatles"" / 23rd July, 1963",On Air - Live At The BBC (Vol.2),1,0.773,0.772,0.306,0.965,1,1
"Words Of Love - Live At The BBC For ""Pop Go The Beatles"" / 20th August, 1963",On Air - Live At The BBC (Vol.2),2,0.776,0.634,0.607,0.925,28,1
"How About It, Gorgeous? - Live At The BBC For ""Pop Go The Beatles"" / 30th July, 1963",On Air - Live At The BBC (Vol.2),3,0.944,0.649,0.176,0.923,23,1
"Do You Want To Know A Secret - Live At The BBC For ""Pop Go The Beatles"" / 30th July, 1963",On Air - Live At The BBC (Vol.2),4,0.65,0.551,0.352,0.717,31,1
"Lucille - Live At The BBC For ""Pop Go The Beatles"" / 17th September, 1963",On Air - Live At The BBC (Vol.2),5,0.752,0.588,0.843,0.91,24,1
"Hey Paul…. - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",On Air - Live At The BBC (Vol.2),6,0.852,0.769,0.16,0.969,0,1
"Anna (Go To Him) - Live At The BBC For ""Pop Go The Beatles"" / 27th August, 1963",On Air - Live At The BBC (Vol.2),7,0.944,0.71,0.474,0.813,28,1
"Hello! - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",On Air - Live At The BBC (Vol.2),8,0.907,0.736,0.26,0.973,0,1
"Please Please Me - Live At The BBC For ""Pop Go The Beatles"" / 13th August, 1963",On Air - Live At The BBC (Vol.2),9,0.798,0.524,0.614,0.824,27,1
"Misery - Live At The BBC For ""Here We Go"" / 12th March, 1963",On Air - Live At The BBC (Vol.2),10,0.298,0.68,0.535,0.858,25,1
"I'm Talking About You - Live At The BBC For ""Saturday Club"" / 16th March, 1963",On Air - Live At The BBC (Vol.2),11,0.826,0.579,0.772,0.948,24,1
"A Real Treat - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",On Air - Live At The BBC (Vol.2),12,0.845,0.742,0.254,0.798,24,1
